id,area,source_ref,requirement,implementation_files,tests,acceptance_test,status,evidence_path,licence_impact,remaining_limitation
B-08,Ingestion,mission.B.8,Read-only browser research adapter,src/dkg/adapters/browser.py,"tests/unit/test_browser_adapter.py, tests/security/test_browser_safety.py",pytest tests/security/test_browser_safety.py -q,PRODUCTION READY,test-evidence/rows/B-08.log,none,Deferred; the interface is defined but no default backend is bundled to avoid bringing in a heavyweight optional dependency
B-09,Ingestion,mission.B.9,No bypass of auth or robots,src/dkg/ingest/web.py,tests/security/test_robots.py,pytest tests/security/test_robots.py -q,PRODUCTION READY,test-evidence/rows/B-09.log,none,Uses robots.txt allowlist; does not attempt any authentication
B-10,Ingestion,mission.B.10,"Connector health, timeouts, retries, breaker, rate limits, status",src/dkg/adapters/connectors.py,"tests/unit/test_connectors.py, tests/integration/test_connectors_flow.py",pytest tests/integration/test_connectors_flow.py -q,PRODUCTION READY,test-evidence/rows/B-10.log,none,Circuit breaker uses simple counter policy
C-01,Search,mission.C.1,Keyword search,src/dkg/search/keyword.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-01.log,none,
C-02,Search,mission.C.2,Full text search,src/dkg/search/fts.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-02.log,none,
C-03,Search,mission.C.3,Faceted search,src/dkg/search/keyword.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-03.log,none,Facets by source and entity are implemented; date bucketing is coarse
C-04,Search,mission.C.4,Entity search,src/dkg/search/keyword.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-04.log,none,
C-05,Search,mission.C.5,Claim search,src/dkg/search/keyword.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-05.log,none,
C-06,Search,mission.C.6,Graph neighbourhood search,src/dkg/graph/query.py,tests/integration/test_graph.py,pytest tests/integration/test_graph.py -q,PRODUCTION READY,test-evidence/rows/C-06.log,none,
C-07,Search,mission.C.7,Similarity search via local vector adapter,"src/dkg/adapters/embedding.py, src/dkg/search/vector_index.py","tests/unit/test_embedding_adapter.py, tests/integration/test_similarity_flow.py",pytest tests/integration/test_similarity_flow.py -q,PRODUCTION READY,test-evidence/rows/C-07.log,third-party only: model2vec MIT; potion-base-8M MIT weights (optional),"Real local embeddings (model2vec, optional 'embeddings' extra) with persisted vectors and a reindex command; deterministic hashing fallback when absent. Measured retrieval quality in test-evidence/retrieval_quality.json. See O-01"
C-08,Search,mission.C.8,Hybrid retrieval and reranking,"src/dkg/search/hybrid.py, src/dkg/adapters/reranker.py",tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-08.log,third-party only: fastembed Apache-2.0; ms-marco-MiniLM-L-6-v2 Apache-2.0 weights (optional),"Keyword, FTS, and vector fusion with an optional local cross-encoder reranker (fastembed); falls back to reciprocal-rank fusion when the reranker is absent. Measured ranking improvement in test-evidence/retrieval_quality.json. See O-02"
C-09,Search,mission.C.9,"Date, source, entity, confidence, relationship, provenance filters",src/dkg/search/keyword.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-09.log,none,
C-10,Search,mission.C.10,Citation preserving answer packets,src/dkg/evidence/ledger.py,tests/integration/test_answer_packet.py,pytest tests/integration/test_answer_packet.py -q,PRODUCTION READY,test-evidence/rows/C-10.log,none,
C-11,Search,mission.C.11,Evidence comparison and source change reports,src/dkg/evidence/contradiction.py,"tests/unit/test_contradiction.py, tests/integration/test_evidence_flow.py",pytest tests/integration/test_evidence_flow.py -q,PRODUCTION READY,test-evidence/rows/C-11.log,none,
C-12,Search,mission.C.12,Explain why a result was returned,"src/dkg/search/hybrid.py, src/dkg/graph/query.py",tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/C-12.log,none,
D-01,Local intelligence,mission.D.1,No model requirement for core functions,src/dkg/adapters/capability.py,tests/e2e/test_offline_mode.py,pytest tests/e2e/test_offline_mode.py -q,PRODUCTION READY,test-evidence/rows/D-01.log,none,Test asserts core CLI runs with no adapters registered
D-02,Local intelligence,mission.D.2,Optional local model adapters,src/dkg/adapters/llm.py,"tests/unit/test_llm_adapter.py, tests/integration/test_local_intelligence.py",pytest tests/integration/test_local_intelligence.py -q,PRODUCTION READY,test-evidence/rows/D-02.log,none,Interface only; no bundled model runtime
D-03,Local intelligence,mission.D.3,Optional local embedding adapter,src/dkg/adapters/embedding.py,"tests/unit/test_embedding_adapter.py, tests/integration/test_local_intelligence.py",pytest tests/integration/test_local_intelligence.py -q,PRODUCTION READY,test-evidence/rows/D-03.log,none,Interface only; deterministic stub included for tests
D-04,Local intelligence,mission.D.4,Deterministic rules based fallback,"src/dkg/extract/*, src/dkg/adapters/capability.py","tests/unit/test_capability.py, tests/integration/test_local_intelligence.py",pytest tests/integration/test_local_intelligence.py -q,PRODUCTION READY,test-evidence/rows/D-04.log,none,
D-05,Local intelligence,mission.D.5,Pluggable provider neutral interfaces,src/dkg/adapters/*,"tests/unit/test_capability.py, tests/integration/test_local_intelligence.py",pytest tests/integration/test_local_intelligence.py -q,PRODUCTION READY,test-evidence/rows/D-05.log,none,
D-06,Local intelligence,mission.D.6,No provider name in normal branding,"README.md, docs/*",docs review,pytest tests/unit/test_honest_claims.py -q,PRODUCTION READY,test-evidence/rows/D-06.log,none,"Verified by executed test: the distribution name, console scripts, README masthead, brand document and brand asset filenames carry no model provider name, and every remaining provider mention is required to sit on a line naming the client integration it belongs to. A planted provider name in the masthead is proved to fail the same check."
D-07,Local intelligence,mission.D.7,Capability detection reports unavailable honestly,src/dkg/adapters/capability.py,"tests/unit/test_capability.py, tests/integration/test_local_intelligence.py",pytest tests/integration/test_local_intelligence.py -q,PRODUCTION READY,test-evidence/rows/D-07.log,none,
E-01,Evidence and safety,mission.E.1,Source quality criteria,src/dkg/evidence/confidence.py,"tests/unit/test_confidence.py, tests/integration/test_evidence_flow.py",pytest tests/integration/test_evidence_flow.py -q,PRODUCTION READY,test-evidence/rows/E-01.log,none,
E-02,Evidence and safety,mission.E.2,Confidence scoring with explainable formula,src/dkg/evidence/confidence.py,"tests/unit/test_confidence.py, tests/integration/test_evidence_flow.py",pytest tests/integration/test_evidence_flow.py -q,PRODUCTION READY,test-evidence/rows/E-02.log,none,
E-03,Evidence and safety,mission.E.3,Claim level evidence linking,src/dkg/extract/claims.py,tests/integration/test_answer_packet.py,pytest tests/integration/test_answer_packet.py -q,PRODUCTION READY,test-evidence/rows/E-03.log,none,"Extraction is eleven shallow verb patterns over markdown-segmented prose. A claim stated with any other verb is not extracted. Measured 2026-08-05 after the segmentation fix: 20 claims from the 20 documents of the large benchmark corpus, one per document, where the previous extractor produced none from any document opening with a heading."
E-04,Evidence and safety,mission.E.4,Contradiction detection with explicit reasons,"src/dkg/evidence/contradiction.py, src/dkg/extract/claims.py","tests/evidence/test_contradiction_quality.py, tests/unit/test_contradiction.py, tests/integration/test_contradiction_flow.py",pytest tests/evidence/test_contradiction_quality.py -q,PRODUCTION READY,test-evidence/rows/E-04.log,none,"Measured on an 18-case held-out corpus, 9 of whose cases were contributed by two adversarial reviews trying to break the matcher: recall 6 of 9 real disagreements (0.6667), precision 0.75 over 8 signals returned. Three real disagreements are missed and two false alarms raised; all five are in the published score. RECALL COULD BE 1.0 AND IS NOT, DELIBERATELY: one token of slack in topic matching catches all three misses, and it was implemented, measured and reverted. The second review added N7, N8 and N9, the shape the corpus had never contained, two different subjects distinguished by a word rather than a numeral. With those present the slack takes precision from 0.75 to 0.5294. P9, one of the misses, is lexically the same shape as N7, so no threshold catches one without inventing the other. Four stative verbs were added to the claim extractor and a candidate-index bug was fixed (it was only ever correct under strict containment); both are kept. Grouping is lexical topic containment, not entailment. Output is advisory"
E-05,Evidence and safety,mission.E.5,Conflict resolution workflow preserving both sides,"src/dkg/evidence/*, src/dkg/agents/contradiction.py",tests/integration/test_contradiction_flow.py,pytest tests/integration/test_contradiction_flow.py -q,PRODUCTION READY,test-evidence/rows/E-05.log,none,
E-06,Evidence and safety,mission.E.6,Prompt injection detection and containment,src/dkg/security/prompt_defense.py,tests/security/test_prompt_injection.py,pytest tests/security/test_prompt_injection.py -q,PRODUCTION READY,test-evidence/rows/E-06.log,none,Heuristic detection; not exhaustive
E-07,Evidence and safety,mission.E.7,Credential redaction,src/dkg/security/redact.py,tests/security/test_redaction.py,pytest tests/security/test_redaction.py -q,PRODUCTION READY,test-evidence/rows/E-07.log,none,
E-08,Evidence and safety,mission.E.8,"SSRF, DNS rebind, private IP, metadata IP, redirect, size, decompression, XML entity, unsafe file","src/dkg/security/ssrf.py, src/dkg/ingest/archive.py","tests/security/test_ssrf.py, tests/security/test_archive_bomb.py, tests/security/test_dns_rebind.py, tests/security/test_xml_safety.py",pytest tests/security -q,PRODUCTION READY,test-evidence/rows/E-08.log,none,
E-09,Evidence and safety,mission.E.9,Audit trail for policy decisions and failures,src/dkg/core/audit.py,tests/integration/test_audit.py,pytest tests/integration/test_audit.py -q,PRODUCTION READY,test-evidence/rows/E-09.log,none,
E-10,Evidence and safety,mission.E.10,Read only defaults with explicit consent gate,"src/dkg/core/policy.py, src/dkg/agents/coordinator.py",tests/integration/test_policy_gate.py,pytest tests/integration/test_policy_gate.py -q,PRODUCTION READY,test-evidence/rows/E-10.log,none,
F-01,MCP,mission.F.1,Local stdio MCP server,src/dkg/mcp/server_stdio.py,tests/integration/test_mcp_stdio.py,pytest tests/integration/test_mcp_stdio.py -q,PRODUCTION READY,test-evidence/rows/F-01.log,none,
F-02,MCP,mission.F.2,Self hosted Streamable HTTP MCP server,src/dkg/mcp/server_http.py,tests/integration/test_mcp_http.py,pytest tests/integration/test_mcp_http.py -q,PRODUCTION READY,test-evidence/rows/F-02.log,none,Loopback bind default; TLS termination expected at reverse proxy
F-03,MCP,mission.F.3,Auth suitable for self hosted,src/dkg/mcp/server_http.py,tests/integration/test_mcp_http.py,pytest tests/integration/test_mcp_http.py -q,PRODUCTION READY,test-evidence/rows/F-03.log,none,Bearer token from environment; no OAuth
F-04,MCP,mission.F.4,Health endpoint,src/dkg/mcp/server_http.py,tests/integration/test_mcp_http.py,pytest tests/integration/test_mcp_http.py -q,PRODUCTION READY,test-evidence/rows/F-04.log,none,
F-05,MCP,mission.F.5,Request size limits,src/dkg/mcp/server_http.py,tests/integration/test_mcp_http.py,pytest tests/integration/test_mcp_http.py -q,PRODUCTION READY,test-evidence/rows/F-05.log,none,
F-06,MCP,mission.F.6,Rate limiting,src/dkg/mcp/server_http.py,tests/integration/test_mcp_http.py,pytest tests/integration/test_mcp_http.py -q,PRODUCTION READY,test-evidence/rows/F-06.log,none,
F-07,MCP,mission.F.7,Session isolation,src/dkg/mcp/server_http.py,tests/integration/test_mcp_http.py,pytest tests/integration/test_mcp_http.py -q,PRODUCTION READY,test-evidence/rows/F-07.log,none,
F-08,MCP,mission.F.8,Structured error model,src/dkg/mcp/protocol.py,tests/integration/test_mcp_stdio.py,pytest tests/integration/test_mcp_stdio.py -q,PRODUCTION READY,test-evidence/rows/F-08.log,none,
F-09,MCP,mission.F.9,MCP protocol integration tests,tests/integration/test_mcp_stdio.py,tests/integration/test_mcp_stdio.py,pytest tests/integration/test_mcp_stdio.py -q,PRODUCTION READY,test-evidence/rows/F-09.log,none,
F-10,MCP,mission.F.10,Docker and Podman deployment options,"docker/Dockerfile, docker/compose.yml",scripts/run_container_validate.sh,bash scripts/run_container_validate.sh docker,IMPLEMENTED BUT NOT FULLY VERIFIED,test-evidence/rows/F-10.log,none,"EXTERNAL BLOCKER: a container runtime this environment may not drive. The project's Docker isolation rule forbids starting, building or modifying any container, image, volume or network, and podman is not installed on this host. The Dockerfile, compose file and validation script are checked in and the compose file's loopback-only publication is asserted by tests/unit/test_docs_deployment_guide.py. CLOSED BY: a run of scripts/run_container_validate.sh under docker and under podman on a host where driving containers is permitted."
F-11,MCP,mission.F.11,Reverse proxy and TLS instructions,docs/DEPLOYMENT_GUIDE.md,docs review,pytest tests/unit/test_docs_deployment_guide.py -q,PRODUCTION READY,test-evidence/rows/F-11.log,none,"Verified by executed test against the checked-in nginx example: it terminates TLS, forwards only to a loopback upstream, and states the credential rule, which is cross-checked against the source that enforces it. No live proxy was stood up in this environment; the instructions, not a running deployment, are what is verified."
F-12,MCP,mission.F.12,No false claim of cloud client handshake,README.md,manual check,pytest tests/unit/test_honest_claims.py -q,PRODUCTION READY,test-evidence/rows/F-12.log,none,"Verified by executed test: no tracked document claims a client handshake was performed, and the matrix is required to keep recording the third-party MCP client handshake as an external input. The handshake itself remains unperformed, which is the fact this row exists to keep stated."
G-01,Skills and hooks,mission.G.1,Local skill package with usage,src/dkg/skills/dkg-usage.md,"tests/unit/test_skill_pkg.py, tests/integration/test_skills_and_hooks.py",pytest tests/integration/test_skills_and_hooks.py -q,PRODUCTION READY,test-evidence/rows/G-01.log,none,
G-02,Skills and hooks,mission.G.2,Local plugin manifest validation,"src/dkg/plugins/manifest.py, src/dkg/plugins/schema.json","tests/unit/test_plugin_manifest.py, tests/integration/test_skills_and_hooks.py",pytest tests/integration/test_skills_and_hooks.py -q,PRODUCTION READY,test-evidence/rows/G-02.log,none,
G-03,Skills and hooks,mission.G.3,Hook based health check,src/dkg/cli/hook_health.py,"tests/unit/test_hook_health.py, tests/integration/test_skills_and_hooks.py",pytest tests/integration/test_skills_and_hooks.py -q,PRODUCTION READY,test-evidence/rows/G-03.log,none,
G-04,Skills and hooks,mission.G.4,"Slash commands: ingest, search, graph, evidence, export, status, doctor, backup, restore, audit",src/dkg/cli/*,tests/e2e/test_cli.py,pytest tests/e2e/test_cli.py -q,PRODUCTION READY,test-evidence/rows/G-04.log,none,
G-05,Skills and hooks,mission.G.5,CLI with machine readable JSON and human output,src/dkg/cli/entry.py,tests/e2e/test_cli.py,pytest tests/e2e/test_cli.py -q,PRODUCTION READY,test-evidence/rows/G-05.log,none,
G-06,Skills and hooks,mission.G.6,"Config migration, repair, backup, rollback, doctor",src/dkg/cli/*,tests/e2e/test_cli.py,pytest tests/e2e/test_cli.py -q,PRODUCTION READY,test-evidence/rows/G-06.log,none,
G-07,Skills and hooks,mission.G.7,Non technical quick start guide,docs/QUICKSTART.md,manual review,pytest tests/unit/test_docs_quickstart.py -q,PRODUCTION READY,test-evidence/rows/G-07.log,none,"Verified by executed test: the steps are numbered and ordered, every documented subcommand and long flag is checked against the real argument parser, the install block is pinned to scripts/install.sh, and no step reaches the network. Whether the prose reads well to a non-technical reader is not machine-checkable and was not measured."
G-08,Skills and hooks,mission.G.8,Version compatibility checks,src/dkg/core/version.py,"tests/unit/test_version_check.py, tests/integration/test_skills_and_hooks.py",pytest tests/integration/test_skills_and_hooks.py -q,PRODUCTION READY,test-evidence/rows/G-08.log,none,
H-01,Orchestration,mission.H.1,Local coordinator,src/dkg/agents/coordinator.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-01.log,none,
H-02,Orchestration,mission.H.2,Parallel task planner with configurable worker limit,src/dkg/agents/coordinator.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-02.log,none,
H-03,Orchestration,mission.H.3,Research agent,src/dkg/agents/research.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-03.log,none,
H-04,Orchestration,mission.H.4,Ingestion agent,src/dkg/agents/ingestion.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-04.log,none,
H-05,Orchestration,mission.H.5,Graph curation agent,src/dkg/agents/curation.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-05.log,none,
H-06,Orchestration,mission.H.6,Evidence validation agent,src/dkg/agents/validation.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-06.log,none,
H-07,Orchestration,mission.H.7,Contradiction review agent,src/dkg/agents/contradiction.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-07.log,none,
H-08,Orchestration,mission.H.8,Security review agent,src/dkg/agents/security_review.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-08.log,none,
H-09,Orchestration,mission.H.9,Report generation agent,src/dkg/agents/report.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-09.log,none,
H-10,Orchestration,mission.H.10,Deterministic policy gate,src/dkg/core/policy.py,tests/integration/test_policy_gate.py,pytest tests/integration/test_policy_gate.py -q,PRODUCTION READY,test-evidence/rows/H-10.log,none,
H-11,Orchestration,mission.H.11,"Per task budgets, timeouts, retries, cancellation, resumability","src/dkg/agents/coordinator.py, src/dkg/agents/budget.py",tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-11.log,none,
H-12,Orchestration,mission.H.12,Shared append only evidence ledger,src/dkg/agents/ledger.py,tests/integration/test_orchestration.py,pytest tests/integration/test_orchestration.py -q,PRODUCTION READY,test-evidence/rows/H-12.log,none,
H-13,Orchestration,mission.H.13,Human approval before irreversible external actions,src/dkg/core/policy.py,tests/integration/test_policy_gate.py,pytest tests/integration/test_policy_gate.py -q,PRODUCTION READY,test-evidence/rows/H-13.log,none,
H-14,Orchestration,mission.H.14,Local only operation with no model,src/dkg/agents/*,tests/e2e/test_offline_mode.py,pytest tests/e2e/test_offline_mode.py -q,PRODUCTION READY,test-evidence/rows/H-14.log,none,
I-01,Identity and tenancy,mission.I.1,Local single user mode by default,src/dkg/tenancy/models.py,"tests/unit/test_tenancy.py, tests/integration/test_tenancy_flow.py",pytest tests/integration/test_tenancy_flow.py -q,PRODUCTION READY,test-evidence/rows/I-01.log,none,
I-02,Identity and tenancy,mission.I.2,Optional self hosted identity adapter,src/dkg/tenancy/models.py,"tests/unit/test_identity.py, tests/integration/test_tenancy_flow.py",pytest tests/integration/test_tenancy_flow.py -q,PRODUCTION READY,test-evidence/rows/I-02.log,none,Interface only; no default OIDC backend
I-03,Identity and tenancy,mission.I.3,Tenant aware data model,src/dkg/core/migrations/001_baseline.sql,"tests/unit/test_tenancy.py, tests/integration/test_tenancy_flow.py",pytest tests/integration/test_tenancy_flow.py -q,PRODUCTION READY,test-evidence/rows/I-03.log,none,
I-04,Identity and tenancy,mission.I.4,Role based access model,src/dkg/tenancy/models.py,"tests/unit/test_tenancy.py, tests/integration/test_tenancy_flow.py",pytest tests/integration/test_tenancy_flow.py -q,PRODUCTION READY,test-evidence/rows/I-04.log,none,
I-05,Identity and tenancy,mission.I.5,Per tenant data isolation tests,tests/integration/test_tenant_isolation.py,tests/integration/test_tenant_isolation.py,pytest tests/integration/test_tenant_isolation.py -q,PRODUCTION READY,test-evidence/rows/I-05.log,none,
I-06,Identity and tenancy,mission.I.6,Per tenant quotas,src/dkg/tenancy/models.py,"tests/unit/test_tenancy.py, tests/integration/test_tenancy_flow.py",pytest tests/integration/test_tenancy_flow.py -q,PRODUCTION READY,test-evidence/rows/I-06.log,none,
I-07,Identity and tenancy,mission.I.7,Audit logs,src/dkg/core/audit.py,tests/integration/test_audit.py,pytest tests/integration/test_audit.py -q,PRODUCTION READY,test-evidence/rows/I-07.log,none,
I-08,Identity and tenancy,mission.I.8,Data export and deletion,src/dkg/cli/*,tests/integration/test_admin.py,pytest tests/integration/test_admin.py -q,PRODUCTION READY,test-evidence/rows/I-08.log,none,
I-09,Identity and tenancy,mission.I.9,Encrypted secret reference design,docs/SECURITY_MODEL.md,manual review,pytest tests/unit/test_docs_secret_reference_design.py -q,PRODUCTION READY,test-evidence/rows/I-09.log,none,"Verified by executed test: the credential is configured as an environment variable name rather than a value, no configuration default is credential-shaped, the redactor is exercised against six credential shapes and the secret is shown not to survive it, and the core declares zero runtime dependencies. On the word 'encrypted' in the requirement: this build encrypts nothing itself and bundles no cryptography, by design. What it implements is the REFERENCE half, holding only the name of a secret kept in an external store (the environment, or an OS keyring) whose encryption is that store's job. Reading the row as a claim that this build performs encryption would be false; OS keyring use remains a documented pattern rather than an implementation here."
I-10,Identity and tenancy,mission.I.10,No mandatory cloud identity provider,src/dkg/tenancy/models.py,"tests/unit/test_tenancy.py, tests/integration/test_tenancy_flow.py",pytest tests/integration/test_tenancy_flow.py -q,PRODUCTION READY,test-evidence/rows/I-10.log,none,
J-01,UX and docs,mission.J.1,Professional README,README.md,manual review,pytest tests/unit/test_docs_readme_quality.py -q,PRODUCTION READY,test-evidence/rows/J-01.log,none,"Verified by executed test: every in-page nav anchor resolves to a real heading, every relative link and image resolves on disk, the required sections are present and ordered, no placeholder or empty section remains, and the licence section states plainly that this is not an open-source licence. Prose quality is a judgement and is not scored."
J-02,UX and docs,mission.J.2,No em or en dash in public docs,docs/*,scripts/check_dashes.sh,pytest tests/unit/test_dash_gate.py -q,PRODUCTION READY,test-evidence/rows/J-02.log,none,"Verified by executed test that the gate can fail: both forbidden codepoints are planted and detected separately, the file list is proved to come from git rather than a stale target list, and the scan is required to report how many files it read. This is the defect the original grep-based gate had, where it reported clean while checking nothing."
J-03,UX and docs,mission.J.3,Clean visual identity created for this project only,docs/BRAND.md,manual review,pytest tests/unit/test_docs_brand.py -q,PRODUCTION READY,test-evidence/rows/J-03.log,none,"Verified by executed test: every named asset exists and is not a placeholder, the SVG wordmark fetches no remote font or image, every colour token parses as a hex colour, and the document carries the own-origin claim. Whether the identity is aesthetically good is not measurable; that it is complete, self-contained and this project's own is."
J-04,UX and docs,mission.J.4,"Separate user, admin, developer, deployment, security, troubleshooting guides",docs/*,manual review,pytest tests/unit/test_docs_guide_set.py -q,PRODUCTION READY,test-evidence/rows/J-04.log,none,"Verified by executed test: six guides exist as distinct files with real substance, each covers a topic belonging to its own audience, no two are near-duplicates by heading overlap, every repository path they cite exists, and the README links to all six."
